date,high_temp,low_temp,weather_am,weather_pm
2013/1/1,9.6,3,晴,快晴
2013/1/2,14.4,4.2,快晴,快晴
2013/1/3,9.9,1.8,曇時々晴,晴
2013/1/4,6.9,1,快晴,晴
2013/1/5,4.8,0.2,曇,薄曇後晴
2013/1/6,10.3,-1.4,薄曇一時晴,薄曇後晴
2013/1/7,8.9,2.1,晴時々曇,晴時々曇
2013/1/8,11.4,2.6,晴,晴後曇
2013/1/9,9.4,4.4,晴時々曇,曇一時晴
2013/1/10,9.1,2.9,晴,晴
2013/1/11,8.9,2.6,快晴,晴後一時曇
2013/1/12,8.8,1.2,晴一時曇,快晴
2013/1/13,13.5,1.1,晴時々薄曇,曇後時々雨
2013/1/14,10,0.7,雪一時雨,晴一時雪
2013/1/15,7.2,0.8,晴後一時薄曇,曇
2013/1/16,6,1.8,曇後晴,晴
2013/1/17,8.3,-0.2,晴時々薄曇,曇後晴
2013/1/18,6.2,0.3,快晴,快晴
2013/1/19,9.8,-0.3,快晴,快晴
2013/1/20,10.4,1.8,快晴,薄曇時々晴
2013/1/21,9.4,2.7,薄曇,曇一時雨
2013/1/22,9.3,3.5,雨後晴,晴
2013/1/23,9.5,3.9,曇,雨時々曇
2013/1/24,9.8,2.5,曇時々晴,晴
2013/1/25,13.4,2.8,晴後一時曇,晴
2013/1/26,7.4,0.9,晴一時曇,快晴
2013/1/27,9.4,0.8,快晴,曇時々晴一時雪
2013/1/28,10.5,1.4,晴一時雪,快晴
2013/1/29,12.4,2.1,快晴,晴
2013/1/30,13.6,3.9,快晴,快晴
2013/1/31,9.6,2.1,晴一時薄曇,快晴
2013/2/1,12.6,2.3,晴後曇,曇一時雨
2013/2/2,20.9,12,曇一時雨,晴一時曇
2013/2/3,13.2,6.7,晴,曇
2013/2/4,14.8,6.3,晴時々曇一時雨,晴
2013/2/5,12.4,6.1,曇時々晴,曇後雨一時みぞれ
2013/2/6,9,1.6,みぞれ時々雪後雨,曇後一時雨
2013/2/7,12.7,3.2,薄曇時々晴,薄曇後一時晴
2013/2/8,7.1,1.9,曇後晴,晴後曇
2013/2/9,8.4,1.4,薄曇,曇時々晴
2013/2/10,10.4,1.3,晴,快晴
2013/2/11,9.3,2.2,晴,晴
2013/2/12,6.9,0.9,曇後一時雨,曇後みぞれ、あられを伴う
2013/2/13,12.3,1.1,晴一時曇,晴時々曇
2013/2/14,9.9,5,曇後時々晴,曇
2013/2/15,8.3,3.5,曇後雨,晴一時雨
2013/2/16,6,0.4,快晴,快晴
2013/2/17,8,0.3,晴時々薄曇,薄曇時々晴
2013/2/18,8.9,1.8,雨時々曇,曇一時雨
2013/2/19,8.9,2.7,雪時々曇,曇
2013/2/20,8.9,1.6,曇後晴,晴
2013/2/21,9,0.9,晴,晴
2013/2/22,8.7,1.3,薄曇時々晴,快晴
2013/2/23,10.1,3.2,晴,晴一時曇
2013/2/24,8.1,0.1,快晴,快晴
2013/2/25,8.5,-0.5,快晴,快晴
2013/2/26,9,1.3,快晴,曇後雨
2013/2/27,9.1,2.6,雨後曇一時晴,晴後曇
2013/2/28,15.7,4.1,曇後晴,晴後曇
2013/3/1,17.6,7.9,曇,曇一時雨
2013/3/2,12,4.8,晴,快晴
2013/3/3,9.7,3.7,曇一時晴,曇
2013/3/4,9.4,4.2,曇後時々晴,雨時々曇後晴
2013/3/5,13.7,3.2,快晴,晴一時曇
2013/3/6,16.4,4.5,快晴,快晴
2013/3/7,18.7,7.1,曇時々晴,薄曇後晴
2013/3/8,23.2,10.8,晴後薄曇,晴
2013/3/9,22.3,11.6,快晴,晴後一時薄曇
2013/3/10,25.3,5.7,曇一時晴,快晴
2013/3/11,12.4,3.8,快晴,晴一時曇
2013/3/12,15.7,4,快晴,晴
2013/3/13,21.2,13.1,薄曇後一時晴,雨
2013/3/14,14.3,5.9,曇一時雨後晴、あられを伴う,曇一時晴
2013/3/15,13.8,4.6,晴,晴
2013/3/16,17.8,7.1,晴,快晴
2013/3/17,16.5,8.5,晴後一時薄曇,薄曇
2013/3/18,20.7,14.5,曇一時晴,曇時々雨
2013/3/19,25,15.5,晴,曇
2013/3/20,20.8,15.1,曇一時晴,晴一時雨
2013/3/21,16.2,7.7,快晴,晴後曇一時雨
2013/3/22,18.6,7.2,晴時々曇,曇一時雨後晴
2013/3/23,17.7,11.4,薄曇時々晴,曇一時雨
2013/3/24,13.3,9.2,曇,曇後一時雨
2013/3/25,11.2,6.7,雨後時々曇,雨後曇
2013/3/26,13.2,5.5,曇時々晴,曇後一時雨
2013/3/27,10.1,6.4,雨後曇,曇
2013/3/28,20.5,9.6,曇,曇一時晴
2013/3/29,20.5,12.3,曇,曇
2013/3/30,12.6,7.6,曇,曇後雨
2013/3/31,8.3,6.7,雨後曇,霧雨後曇時々晴
2013/4/1,15.2,6.9,曇一時晴,曇後雨
2013/4/2,12.6,8.3,雨,大雨
2013/4/3,16.6,11.3,大雨後曇,快晴
2013/4/4,21.4,10.8,晴後時々曇,薄曇後一時晴
2013/4/5,22.5,13.5,晴一時曇,薄曇時々晴
2013/4/6,20.7,15.3,曇時々雨,大雨後曇、雷を伴う
2013/4/7,23.1,11.9,晴,快晴
2013/4/8,20.2,10.5,快晴,晴後一時薄曇
2013/4/9,21.7,10.7,晴時々薄曇,晴
2013/4/10,17.9,8,曇,曇時々雨一時晴
2013/4/11,13.6,6,晴後一時雨,晴
2013/4/12,15.7,6.5,晴,晴一時曇
2013/4/13,16.2,7.4,快晴,晴後一時薄曇
2013/4/14,20.6,10,薄曇,曇時々晴
2013/4/15,22.6,12.7,晴,快晴
2013/4/16,21.4,11.4,晴時々薄曇,薄曇
2013/4/17,23.3,16.4,曇,晴
2013/4/18,23.4,16.2,晴,晴後時々曇
2013/4/19,19.9,10.2,曇,曇
2013/4/20,11.5,6,曇後雨,雨
2013/4/21,10.2,5.3,雨後曇,曇後晴
2013/4/22,17.3,6.8,晴後一時曇,曇後晴
2013/4/23,18.7,7.9,薄曇一時晴,曇
2013/4/24,18,15.5,雨,雨後曇
2013/4/25,22.8,13.4,曇,薄曇
2013/4/26,22.6,12.3,晴時々曇,晴時々曇
2013/4/27,21.2,11.2,晴,快晴
2013/4/28,20.5,12.8,快晴,晴後一時薄曇
2013/4/29,21.7,12.1,薄曇一時晴,薄曇
2013/4/30,21.9,15.9,曇一時雨,曇後雨
2013/5/1,18.7,12,曇時々晴後一時雨,雨時々曇
2013/5/2,19.7,10.6,晴時々曇一時雨,曇時々晴
2013/5/3,19.1,11.1,晴,晴
2013/5/4,20.3,11.3,晴後一時曇,晴
2013/5/5,22.9,14.1,快晴,晴一時薄曇
2013/5/6,25.3,14.5,晴後一時雨、雷を伴う,快晴
2013/5/7,20.4,10.7,晴,快晴
2013/5/8,23.7,10.5,快晴,快晴
2013/5/9,24.8,14.4,快晴,快晴
2013/5/10,28.5,16.2,薄曇,雨後曇
2013/5/11,20.8,17.3,雨一時曇,雨一時霧雨
2013/5/12,25.3,16.4,晴時々薄曇,晴後曇
2013/5/13,23.7,15.8,曇一時晴,晴時々曇
2013/5/14,27.8,17.7,晴後一時薄曇,晴後曇
2013/5/15,25.5,16.9,晴,晴後薄曇
2013/5/16,26.7,15.2,晴時々曇一時雨,雨後晴
2013/5/17,23.6,12.9,快晴,晴後一時曇
2013/5/18,24.5,16.1,晴時々曇,薄曇
2013/5/19,23.4,16.8,薄曇,雨
2013/5/20,21,16.8,霧雨一時雨,雨後曇
2013/5/21,26.5,20.2,曇一時晴,曇後晴
2013/5/22,26.6,19,晴,晴時々曇
2013/5/23,26.2,19.9,晴一時曇,晴時々曇
2013/5/24,28.2,15.7,快晴,晴後曇
2013/5/25,22.9,14.2,曇一時晴,曇
2013/5/26,26.6,18.8,曇後晴,晴時々薄曇
2013/5/27,26.1,19.8,薄曇一時晴,曇
